beer_beerid,beer_style,styles,beer_name
33467,13,American IPA,High Tide Fresh Hop IPA
33481,13,American IPA,Mill Street IPA
33501,13,American IPA,Humulus Lupulus
33610,13,American IPA,Drake Tail India Pale Ale
33624,13,American IPA,Hoppin' To Heaven IPA
33632,13,American IPA,Front Street Port City IPA
33670,13,American IPA,Stateside IPA
33676,13,American IPA,Copacetic IPA
33736,13,American IPA,Powerhouse India Pale Ale
33748,13,American IPA,Anniversary Ale 2006
33795,13,American IPA,Double Haul IPA
33831,13,American IPA,Hopwheels IPA
33896,13,American IPA,Abbey Road IPA
33930,13,American IPA,Centennial Single Hop IPA
33974,13,American IPA,Magnum IPA
34042,13,American IPA,Amarillo IPA
34329,13,American IPA,Twain's Leaping Frog IPA
34330,13,American IPA,Mangey Rabbit
34436,13,American IPA,Stone IPA Double Dry Hopped
34458,13,American IPA,Holiday Ale
34510,13,American IPA,IPA
34540,13,American IPA,Firebird Pale Ale
